name,description,agency,link,error
Startup SG Equity,"Co-investment opportunities for investors that provide funding support for high potential startups. Co-invest with independent, qualified third party investors into eligible startups. Invest in selected venture capital firms that in turn invest in eligible startups, through a fund-of-funds approach.",Enterprise Singapore,https://www.startupsg.gov.sg/programmes/4895/startup-sg-equity,False
Startup SG Infrastructure,"Infrastructural support for startups, multipliers and investors. JTC Launchpads brings together a diverse community of startups, accelerators, incubators, venture capitalist (VC) firms, and ecosystem players in a communal environment, to spur knowledge sharing and collaboration.",Enterprise Singapore,https://www.startupsg.gov.sg/programmes/4896/startup-sg-infrastructure,False
Startup SG Loan,Government-backed loans via the Enterprise Financing Scheme (EFS). Provides access to seven financing areas to catalyse startups’ growth opportunities.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/</financial-support/enterprise-financing-scheme>,False
Startup SG Network,Networking and collaboration opportunities through a connected community of ecosystem players. Allows startups to profile themselves and connect with local and global ecosystem players. Drives network building for potential business partnerships.,Enterprise Singapore,https://www.startupsg.gov.sg/directory/startups,False
Startup SG Equity,Co-invest into Singapore-based technology startups with intellectual property and global market potential.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/</financial-support/startup-sg-equity>,False
Venture Capital Fund Incentive (VCFI),Get tax exemption on qualifying income streams for a period of up to 15 years.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/</financial-support/venture-capital-fund-incentive>,False
Fund Management Incentive (FMI),Receive a concessionary tax rate of 5% for a period of up to 5 years as a fund management company.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/overview/</financial-support/fund-management-incentive>,False
Enterprise Development Grant (EDG),"The EDG enables Singapore firms to grow and transform by supporting projects to upgrade their business, innovate or venture overseas.",Enterprise Singapore,,False
Global Ready Talent Programme,The talent programme helps firms to offer internships and other work opportunities to attract students and fresh graduates.,Enterprise Singapore,,False
Productivity Solutions Grant,"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity and automate existing processes through IT solutions and equipment. It offers up to 50% of eligible costs for local SMEs, with support for sector-specific and generic solutions that are pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/financial-support/market-readiness-assistance-grant,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/financial-support/enterprise-financing-scheme,False
Productivity Solutions Grant,The Productivity Solutions Grant (PSG) supports companies keen on adopting IT solutions and equipment to enhance business processes.,Enterprise Singapore,https://www.enterprisesg.gov.sg/-/media/esg/files/financial-assistance/grants/for-local-companies/productivity-solutions-grant/psg-checklist.pdf,False
Productivity Solutions Grant (PSG),Improve productivity through IT solutions and equipment.,,https://www.enterprisesg.gov.sg/financial-support/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",,https://www.enterprisesg.gov.sg/financial-support/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,,,https://www.enterprisesg.gov.sg/financial-support/financial-support/market-readiness-assistance-grant,False
Enterprise Leadership for Transformation Programme (ELT),,,https://www.enterprisesg.gov.sg/financial-support/grow-your-business/boost-capabilities/growth-and-transformation/enterprise-leadership-for-transformation,False
Scale-Up,,,https://www.enterprisesg.gov.sg/financial-support/grow-your-business/boost-capabilities/growth-and-transformation/scale-up,False
Aviation Development Fund (ADF),,,http://www.caas.gov.sg/who-we-are/areas-of-responsibility/developing-the-industry/aviation-development-fund,False
Business Improvement Fund (BIF),,,https://www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/business-improvement-fund-bif.html,False
Productivity Solutions Grant,"The Productivity Solutions Grant (PSG) supports companies keen on adopting IT solutions and equipment to enhance business processes. PSG covers sector-specific solutions including customer management, data analytics, financial management, and inventory tracking.",Enterprise Singapore,https://www.enterprisesg.gov.sg/-/media/esg/files/financial-assistance/grants/for-local-companies/productivity-solutions-grant/psg-step-by-step-guide.pdf,False
Productivity Solutions Grant (PSG),The PSG supports businesses in the adoption of IT solutions/equipment/consultancy service that improve productivity. It provides funding for the purchase/lease/hire of pre-approved equipment or IT solution packages.,Enterprise Singapore (EnterpriseSG),https://www.enterprisesg.gov.sg/resources/all-faqs/productivity-solutions-grant,False
Productivity Solutions Grant (PSG),"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity and automate existing processes through IT solutions and equipment. Up to 50% of eligible costs for local SMEs. Receive up to $30,000 and improve your business productivity. Sector-specific and generic solutions are pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-financing-scheme,False
Productivity Solutions Grant (PSG),"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity and automate existing processes through IT solutions and equipment. Up to 50% of eligible costs for local SMEs. Receive up to $30,000 and improve your business productivity. Sector-specific and generic solutions are pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-financing-scheme,False
Productivity Solutions Grant,"The Productivity Solutions Grant (PSG) helps Singapore companies improve their productivity and automate existing processes through IT solutions and equipment. Up to 50% of eligible costs for local SMEs. Receive up to $30,000 and improve your business productivity. Sector-specific and generic solutions are pre-approved by EnterpriseSG and other participating agencies.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-financing-scheme,False
Enterprise Development Grant (EDG),"The Enterprise Development Grant (EDG) supports projects that help you upgrade, innovate, grow and transform your business. Submit your individual project proposals with details on your business plans and project outcomes to take your business further. EDG funds qualifying project costs namely third-party consultancy fees, software and equipment, and internal manpower cost.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,False
Market Readiness Assistance (MRA) Grant,"The Market Readiness Assistance (MRA) grant helps companies expand into new markets overseas by defraying the costs of overseas market promotion, business development and set-up. The enhanced MRA grant cap of up to S$100,000 will be extended until 31 March 2025.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/</financial-support/enterprise-development-grant>,False
Productivity Solutions Grant (PSG),Improve productivity through IT solutions and equipment.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/</financial-support/productivity-solutions-grant>,False
Enterprise Sustainability Programme,Integrate sustainability into your business to capture new opportunities in the green economy.,Enterprise Singapore,https://www.enterprisesg.gov.sg/financial-support/</grow-your-business/boost-capabilities/sustainability/enterprise-sustainability-programme>,False
Internationalisation Grant,"EnterpriseSG provided Lucence with an internationalisation grant, which helped in the set-up of its Palo Alto laboratory in 2020.",Enterprise Singapore,,False
Enterprise Singapore Grants,Enterprise Singapore provides grants to help companies expand their capabilities and internationalisation efforts.,Enterprise Singapore,,False
